date,steps,distance,calories,active_minutes,floors_climbed,min_hr,max_hr,resting_hr,avg_hr
2025-11-03,21954,19551,1216.0,88,,47,151,48,51.0
2025-11-04,9858,32703,576.0,0,,49,109,51,51.0
2025-11-05,25812,22393,1360.0,113,,52,174,53,51.0
2025-11-06,6569,30341,1054.0,79,,43,143,50,51.0
2025-11-07,23621,20506,1143.0,91,,49,153,49,50.0
2025-11-08,5224,52105,910.0,101,,44,131,49,50.0
2025-11-09,6707,5319,214.0,21,,46,111,50,50.0
2025-11-10,26652,23395,1358.0,100,,48,166,49,50.0
2025-11-11,8412,28473,501.0,37,,50,153,51,50.0
2025-11-12,24374,21588,1374.0,112,,49,168,50,50.0
2025-11-13,13417,12996,1014.0,92,,45,154,49,50.0
2025-11-14,3763,2979,47.0,0,,49,95,50,50.0
2025-11-15,13989,11436,463.0,37,,50,133,52,50.0
2025-11-16,5475,28308,619.0,50,,50,146,51,50.0
2025-11-17,25436,22671,1448.0,110,,53,163,54,51.0
2025-11-18,7181,33138,1080.0,110,,49,147,50,51.0
2025-11-19,21958,19517,1165.0,94,,55,154,55,52.0
2025-11-20,9358,9544,786.0,70,,51,119,53,52.0
2025-11-21,6703,75912,1537.0,180,,49,157,50,52.0
2025-11-22,24044,20677,1029.0,82,,49,165,52,52.0
2025-11-23,6778,5366,190.0,16,,48,119,49,52.0
2025-11-24,25462,22871,1241.0,94,,49,163,52,52.0
2025-11-25,8664,38273,711.0,62,,47,149,48,51.0
2025-11-26,20911,18742,958.0,67,,46,175,50,51.0
2025-11-27,6627,7234,638.0,42,,50,121,52,50.0
2025-11-28,23140,20477,1230.0,97,,48,169,49,50.0
2025-11-29,6053,79235,1390.0,168,,50,156,54,51.0
2025-11-30,16450,14436,745.0,69,,48,147,51,51.0
2025-12-01,19938,18413,1097.0,83,,40,184,48,50.0
2025-12-02,4831,31416,540.0,57,,48,149,49,50.0
2025-12-03,20983,19027,1075.0,74,,42,176,50,50.0
2025-12-04,10103,36668,613.0,18,,48,134,48,50.0
2025-12-05,27104,24529,1376.0,106,,45,147,47,50.0
2025-12-06,17890,89766,1726.0,186,,42,153,49,49.0
2025-12-07,7692,6090,122.0,0,,40,92,48,48.0
2025-12-08,25172,23146,1379.0,110,,44,155,46,48.0
2025-12-09,6390,34571,666.0,61,,44,145,46,48.0
2025-12-10,18358,16379,873.0,73,,48,162,49,48.0
2025-12-11,9644,9435,661.0,39,,47,131,48,48.0
2025-12-12,32413,29136,1589.0,114,,47,168,49,48.0
2025-12-13,9852,23300,456.0,0,,45,91,52,48.0
2025-12-14,18684,15433,794.0,56,,48,146,49,48.0
2025-12-15,20199,18580,897.0,59,,46,168,48,49.0
2025-12-16,8464,39520,676.0,57,,46,146,47,49.0
2025-12-17,21265,18640,1096.0,79,,50,168,51,49.0
2025-12-18,8798,7930,373.0,28,,46,119,50,49.0
2025-12-19,23676,23069,1415.0,116,,49,180,50,50.0
2025-12-20,16017,14359,1949.0,220,,46,187,51,49.0
2025-12-21,9314,7374,213.0,8,,48,124,51,50.0
2025-12-22,18956,16917,946.0,66,,40,154,51,50.0
2025-12-23,6662,34825,528.0,0,,46,100,50,51.0
2025-12-24,20951,19078,1116.0,92,,47,178,50,50.0
2025-12-25,10887,30368,1160.0,40,,48,122,50,50.0
2025-12-26,25706,22882,1258.0,109,,51,176,52,51.0
2025-12-27,6487,5144,900.0,140,,46,146,48,50.0
2025-12-28,15238,12665,625.0,52,,49,136,50,50.0
2025-12-29,16547,15032,919.0,76,,48,155,50,50.0
2025-12-30,9679,43339,881.0,84,,48,148,49,50.0
2025-12-31,23193,20377,1058.0,72,,41,166,49,50.0
2026-01-01,10097,32758,996.0,47,,51,118,52,50.0
2026-01-02,27904,25599,1336.0,100,,53,150,54,50.0
2026-01-03,7872,6232,112.0,0,,46,104,51,51.0
2026-01-04,8324,6590,92.0,0,,46,89,49,51.0
2026-01-05,17488,14645,755.0,57,,47,146,48,50.0
2026-01-06,8711,6897,194.0,0,,48,100,51,51.0
2026-01-07,9652,7904,345.0,35,,51,160,52,51.0
2026-01-08,8712,6897,216.0,0,,51,103,51,51.0
2026-01-09,27781,28291,1733.0,120,,52,179,54,51.0
2026-01-10,10869,8617,203.0,0,,46,96,50,51.0
2026-01-11,13205,10766,481.0,37,,49,147,52,51.0
2026-01-12,16912,15137,897.0,67,,48,170,49,51.0
2026-01-13,7963,25851,557.0,0,,50,102,51,51.0
2026-01-14,19502,18011,1033.0,74,,47,177,52,51.0
2026-01-15,6321,32820,952.0,41,,53,147,55,52.0
2026-01-16,24974,21856,1435.0,119,,57,174,55,52.0
2026-01-17,6256,5458,1119.0,179,,55,147,56,53.0
2026-01-18,36,29,0.0,0,,57,78,57,
2026-01-19,8,6,0.0,0,,53,74,52,
2026-01-20,9882,27497,492.0,0,,48,95,53,54.0
2026-01-21,16327,15103,899.0,66,,47,176,51,54.0
2026-01-22,5063,4008,98.0,0,,43,93,51,53.0
2026-01-23,18863,16397,1745.0,231,,49,158,50,52.0
2026-01-24,17155,14572,915.0,105,,48,168,51,51.0
2026-01-25,13243,11052,559.0,49,,49,160,50,51.0
2026-01-26,22223,20122,1113.0,72,,43,157,47,50.0
2026-01-27,6403,20584,465.0,0,,47,106,48,50.0
2026-01-28,23088,20299,1224.0,98,,49,180,52,50.0
2026-01-29,7482,6735,366.0,14,,39,107,54,50.0
2026-01-30,28730,26356,1540.0,127,,51,174,54,51.0
2026-01-31,10790,58417,1090.0,1,,50,96,51,51.0
2026-02-01,8697,7076,403.0,41,,40,124,52,51.0
