date,sleep_start,sleep_end,total_sleep_seconds,deep_sleep_seconds,light_sleep_seconds,rem_sleep_seconds,awake_seconds,sleep_score
2025-11-03,1762120200000.0,1762145400000.0,25140.0,5100.0,16440.0,3600.0,60.0,83.0
2025-11-04,1762210200000.0,1762233000000.0,22080.0,7800.0,12060.0,2220.0,720.0,73.0
2025-11-05,,,,,,,,
2025-11-06,1762379940000.0,1762405800000.0,25320.0,4620.0,16440.0,4260.0,540.0,83.0
2025-11-07,1762466940000.0,1762491300000.0,22020.0,6000.0,14220.0,1800.0,2340.0,69.0
2025-11-08,1762553340000.0,1762577460000.0,23640.0,5640.0,15360.0,2640.0,480.0,76.0
2025-11-09,1762642140000.0,1762670640000.0,27480.0,3120.0,17520.0,6840.0,1020.0,88.0
2025-11-10,1762725540000.0,1762750320000.0,24180.0,3600.0,17220.0,3360.0,600.0,78.0
2025-11-11,,,,,,,,
2025-11-12,1762895460000.0,1762921320000.0,25320.0,7800.0,13740.0,3780.0,540.0,79.0
2025-11-13,1762983720000.0,1763009940000.0,24300.0,6180.0,15600.0,2520.0,1920.0,74.0
2025-11-14,1763071200000.0,1763100240000.0,28740.0,5340.0,19440.0,3960.0,300.0,86.0
2025-11-15,1763159580000.0,1763187960000.0,26640.0,3540.0,19620.0,3480.0,1740.0,75.0
2025-11-16,1763248200000.0,1763271120000.0,22920.0,7500.0,12780.0,2640.0,0.0,78.0
2025-11-17,,,,,,,,
2025-11-18,1763417040000.0,1763443200000.0,25980.0,6420.0,14160.0,5400.0,180.0,89.0
2025-11-19,,,,,,,,
2025-11-20,1763585100000.0,1763613420000.0,27720.0,5820.0,18180.0,3720.0,600.0,85.0
2025-11-21,1763673360000.0,1763699640000.0,24000.0,6240.0,16920.0,840.0,2280.0,65.0
2025-11-22,1763772480000.0,1763791560000.0,17520.0,5760.0,11400.0,360.0,1560.0,53.0
2025-11-23,1763849700000.0,1763879880000.0,30060.0,3840.0,20220.0,6000.0,120.0,91.0
2025-11-24,,,,,,,,
2025-11-25,1764025320000.0,1764047700000.0,22320.0,3060.0,15540.0,3720.0,60.0,77.0
2025-11-26,1764109800000.0,1764133620000.0,23280.0,6900.0,15180.0,1200.0,540.0,66.0
2025-11-27,,,,,,,,
2025-11-28,1764279540000.0,1764308760000.0,27840.0,6660.0,17940.0,3240.0,1380.0,83.0
2025-11-29,,,,,,,,
2025-11-30,1764455580000.0,1764479280000.0,23460.0,5100.0,13740.0,4620.0,240.0,81.0
2025-12-01,1764540060000.0,1764565080000.0,22320.0,4260.0,13440.0,4620.0,2700.0,73.0
2025-12-02,1764625020000.0,1764652800000.0,27720.0,5820.0,17700.0,4200.0,60.0,91.0
2025-12-03,1764713700000.0,1764736620000.0,21960.0,4740.0,15360.0,1860.0,960.0,70.0
2025-12-04,1764806160000.0,1764831900000.0,25440.0,1500.0,19620.0,4320.0,300.0,76.0
2025-12-05,1764884040000.0,1764909900000.0,24900.0,5580.0,14520.0,4800.0,960.0,84.0
2025-12-06,,,,,,,,
2025-12-07,1765063260000.0,1765090860000.0,26100.0,5940.0,13920.0,6240.0,1500.0,83.0
2025-12-08,1765144260000.0,1765170120000.0,25440.0,7020.0,13320.0,5100.0,420.0,88.0
2025-12-09,1765231740000.0,1765257420000.0,24600.0,8040.0,10920.0,5640.0,1080.0,85.0
2025-12-10,1765316340000.0,1765345440000.0,27060.0,3240.0,19800.0,4020.0,2040.0,79.0
2025-12-11,1765402500000.0,1765429200000.0,26280.0,4200.0,17520.0,4560.0,420.0,86.0
2025-12-12,1765491720000.0,1765514940000.0,22200.0,5280.0,12540.0,4380.0,1020.0,78.0
